idcrs,model_name,name,context,def,number_of_dependencies,dependencies
82,WordPad,CR01,<InstanceType-Message{851}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(op| op.name=self.name))",9,"CR09 (horizontal), && CR13 (horizontal), && CR16 (horizontal), && CR18 (horizontal), && CR19 (horizontal), && CR26 (horizontal), && CR17 (horizontal), && CR27 (horizontal), && CR20 (horizontal), &&"
83,WordPad,CR02,<InstanceType-Association{523}>,"self.memberEnd.size() > 0 implies self.memberEnd->forAll(p | p.type <> null implies p.type.namespace = self.namespace)",3,"CR03 (horizontal), && CR11 (horizontal), && CR04 (horizontal), &&"
84,WordPad,CR03,<InstanceType-Association{523}>,"self.memberEnd->forAll(p1,p2 : <root/types/UMLLoader3/Property>| p1 <> p2 implies p1.name <> p2.name)",3,"CR02 (horizontal), && CR04 (horizontal), && CR05 (horizontal), &&"
85,WordPad,CR04,<InstanceType-Association{523}>,"self.memberEnd->size() > 0 implies self.memberEnd->select(p | p.aggregation.name = 'composite')->size() <= 1 or self.memberEnd->select(m | m.aggregation.name = 'shared')->size() <= 1",3,"CR03 (horizontal), && CR02 (horizontal), && CR06 (horizontal), &&"
86,WordPad,CR05,<InstanceType-Class{379}>,"self.ownedAttribute->forAll(p1,p2:<root/types/UMLLoader3/Property> | p1 <> p2 implies p1.name <> p2.name)",1,"CR03 (horizontal), &&"
87,WordPad,CR06,<InstanceType-Property{359}>,"(self.association <> null and self.aggregation.name='composite') implies (self.upper >= 0 and self.upper <= 1)",2,"CR08 (horizontal), && CR04 (horizontal), &&"
88,WordPad,CR07,<InstanceType-Package{327}>,"self.packagedElement->forAll(e1,e2:<root/types/UMLLoader3/PackageableElement> | (e1 <> e2) and (e1.name <> '' and e2.name <> '') implies (e1.name <> e2.name))",0,"CR07 has no dependencies"
89,WordPad,CR08,<InstanceType-Interface{386}>,"self.ownedAttribute->forAll(pr: <root/types/UMLLoader3/Property>| pr.association <> null or pr.visibility.name = 'public') and self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.visibility.name = 'public')",2,"CR06 (horizontal), && CR20 (horizontal), &&"
90,WordPad,CR09,<InstanceType-Class{379}>,"self.ownedOperation->forAll( o1,o2 : <root/types/UMLLoader3/Operation> | o1 <> o2 implies (o1.name <> o2.name or o1.ownedParameter->size() <> o2.ownedParameter->size() or o1.ownedParameter->exists(t1:<root/types/UMLLoader3/Type> | o2.ownedParameter->excludes(t1)) or o2.ownedParameter->exists(t2:<root/types/UMLLoader3/Type> | o1.ownedParameter->excludes(t2))))",9,"CR13 (horizontal), && CR11 (horizontal), && CR18 (horizontal), && CR19 (horizontal), && CR26 (horizontal), && CR14 (horizontal), && CR01 (horizontal), && CR20 (horizontal), && CR10 (horizontal), &&"
91,WordPad,CR10,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p1,p2:<root/types/UMLLoader3/Parameter>| p1 <> p2 implies p1.name <> p2.name)",3,"CR09 (horizontal), && CR11 (horizontal), && CR14 (horizontal), &&"
92,WordPad,CR11,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p:<root/types/UMLLoader3/Parameter>|(p.type <> null and self.owner.isTypeOf(<root/types/UMLLoader3/Class>)) implies p.type.namespace = self.owner.asType(<root/types/UMLLoader3/Class>).namespace)",4,"CR09 (horizontal), && CR02 (horizontal), && CR14 (horizontal), && CR10 (horizontal), &&"
93,WordPad,CR12,<InstanceType-Generalization{621}>,"self.source->forAll(e1: <root/types/UMLLoader3/Element> | e1.isKindOf(<root/types/UMLLoader3/NamedElement>) implies self.target->forAll(e2 : <root/types/UMLLoader3/Element> | e2.isKindOf(<root/types/UMLLoader3/NamedElement>) and e1.asType(<root/types/UMLLoader3/NamedElement>).namespace = e2.asType(<root/types/UMLLoader3/NamedElement> ).namespace))",0,"CR12 has no dependencies"
94,WordPad,CR13,<InstanceType-Transition{483}>,"let classifier : <root/types/UMLLoader3/BehavioredClassifier> = self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine.context in (self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine <> null implies classifier.isTypeOf(<root/types/UMLLoader3/Class>) implies classifier.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(o:<root/types/UMLLoader3/Operation> | o.name = self.name))",7,"CR09 (horizontal), && CR16 (horizontal), && CR18 (horizontal), && CR19 (horizontal), && CR26 (horizontal), && CR01 (horizontal), && CR20 (horizontal), &&"
95,WordPad,CR14,<InstanceType-Operation{380}>,"self.ownedParameter->select(p : <root/types/UMLLoader3/Parameter> | p.direction.name = 'return')->size() <= 1",3,"CR09 (horizontal), && CR11 (horizontal), && CR10 (horizontal), &&"
96,WordPad,CR16,<InstanceType-Message{851}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedBehavior->exists(ob| ob.asType(<root/types/UMLLoader3/StateMachine>).region->exists(re|re.asType(<root/types/UMLLoader3/Region>).transition->exists(t|t.name=self.name))))",7,"CR13 (horizontal), && CR18 (horizontal), && CR19 (horizontal), && CR17 (horizontal), && CR27 (horizontal), && CR01 (horizontal), && CR20 (horizontal), &&"
97,WordPad,CR17,<InstanceType-Lifeline{833}>,"self.coveredBy->asList().size() > 0 implies self.coveredBy->asList()->first().asType(<root/types/UMLLoader3/InteractionFragment>).covered->isEmpty()",2,"CR16 (horizontal), && CR01 (horizontal), &&"
98,WordPad,CR18,<InstanceType-Operation{380}>,"allInstances(<root/types/UMLLoader3/Action>)->exists(a1: <root/types/UMLLoader3/Action>|  allInstances(<root/types/UMLLoader3/Message>)->exists(m1: <root/types/UMLLoader3/Message>| (a1.name = self.name) and (m1.name = self.name) implies a1.name = m1.name))",6,"CR09 (horizontal), && CR13 (horizontal), && CR16 (horizontal), && CR19 (horizontal), && CR01 (horizontal), && CR20 (horizontal), &&"
99,WordPad,CR19,<InstanceType-Message{851}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| self.name = op.name implies not op.isAbstract)",7,"CR09 (horizontal), && CR13 (horizontal), && CR16 (horizontal), && CR18 (horizontal), && CR26 (horizontal), && CR01 (horizontal), && CR20 (horizontal), &&"
100,WordPad,CR20,<InstanceType-Message{851}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| op.name = self.name implies ((self.visibility.name = 'public') and (op.visibility.name = 'public')) or ((self.visibility.name = 'private') and (op.visibility.name = 'private')) or ((self.visibility.name = 'protected') and (op.visibility.name = 'protected')))",7,"CR09 (horizontal), && CR08 (horizontal), && CR13 (horizontal), && CR16 (horizontal), && CR18 (horizontal), && CR19 (horizontal), && CR01 (horizontal), &&"
101,WordPad,CR21,<InstanceType-Class{379}>,"allInstances(<root/types/UMLLoader3/Activity>)->exists(at:<root/types/UMLLoader3/Activity>|self.name = at.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
102,WordPad,CR22,<InstanceType-UseCase{636}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR24 (horizontal), && CR21 (horizontal), && CR23 (horizontal), &&"
103,WordPad,CR23,<InstanceType-InteractionFragment{834}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR24 (horizontal), && CR22 (horizontal), && CR21 (horizontal), &&"
104,WordPad,CR24,<InstanceType-InteractionFragment{834}>,"allInstances(<root/types/UMLLoader3/UseCase>)->exists(ut:<root/types/UMLLoader3/UseCase>| ut.name = self.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
105,WordPad,CR25,<InstanceType-CreateLinkObjectAction{807}>,"allInstances(<root/types/UMLLoader3/Association>)->forAll(at:<root/types/UMLLoader3/Association>|  at.name = self.name implies self.result = at)",0,"CR25 has no dependencies"
106,WordPad,CR26,<InstanceType-Class{379}>,"self.isAbstract = true implies  self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.isAbstract)",5,"CR09 (horizontal), && CR13 (horizontal), && CR19 (horizontal), && CR27 (horizontal), && CR01 (horizontal), &&"
107,WordPad,CR27,<InstanceType-Lifeline{833}>,"allInstances(<root/types/UMLLoader3/Interface>)->forAll(it:<root/types/UMLLoader3/Interface>| self <> it implies allInstances(<root/types/UMLLoader3/Class>)->select(ct:<root/types/UMLLoader3/Class>| ct.isAbstract)->forAll(ab:<root/types/UMLLoader3/Class>| ab <> self.represents.type))",3,"CR16 (horizontal), && CR26 (horizontal), && CR01 (horizontal), &&"
